date,open,high,low,close,volume_hands,rsi_14,macd_dif,macd_dea,macd_hist,bb_mid_20,bb_upper_20,bb_lower_20,bb_width_20,bb_percent_b_20,true_range,atr_14,atr_pct_14
20250704,10.85,11.0,10.8,10.87,54142.02,,0.0,0.0,0.0,,,,,,0.1999999999999993,,
20250707,10.81,11.07,10.74,11.07,45327.01,,0.01595441595441649,0.003190883190883298,0.012763532763533193,,,,,,0.33000000000000007,,
20250708,11.05,11.47,11.0,11.23,78358.0,,0.041036030551701685,0.010759912663046977,0.03027611788865471,,,,,,0.47000000000000064,,
20250709,11.16,11.23,11.03,11.15,44583.0,,0.053837454745567115,0.019375421079551005,0.034462033666016106,,,,,,0.20000000000000107,,
20250710,11.16,11.21,11.01,11.08,33197.0,,0.057669482763602176,0.027034233416361242,0.030635249347240934,,,,,,0.20000000000000107,,
20250711,11.14,11.65,11.06,11.6,88562.0,,0.10149606331603778,0.04192659939629655,0.059569463919741224,,,,,,0.5899999999999999,,
20250714,11.47,11.75,11.46,11.56,64249.0,,0.1314855943663389,0.059838398390305025,0.07164719597603386,,,,,,0.28999999999999915,,
20250715,11.5,11.59,11.15,11.26,60750.99,,0.12955163043861084,0.0737810447999662,0.05577058563864465,,,,,,0.4399999999999995,,
20250716,11.27,11.44,11.16,11.21,38692.0,,0.12257144068966674,0.0835391239779063,0.03903231671176044,,,,,,0.27999999999999936,,
20250717,11.22,11.23,11.03,11.11,41717.0,,0.10772859754516872,0.08837701869135879,0.019351578853809934,,,,,,0.20000000000000107,,
20250718,11.19,11.19,10.94,11.04,36828.01,,0.08928786747418016,0.08855918844792307,0.0007286790262570897,,,,,,0.25,,
20250721,11.09,11.35,11.02,11.24,52431.01,,0.08977689243310216,0.0888027292449589,0.000974163188143265,,,,,,0.33000000000000007,,
20250722,11.22,11.95,11.22,11.59,103606.02,,0.11705716107689312,0.09445361561134574,0.02260354546554738,,,,,,0.7299999999999986,,
20250723,11.75,11.98,11.51,11.56,88496.61,,0.13470344379123844,0.1025035812473243,0.032199862543914146,,,,,,0.47000000000000064,0.3118145958245312,2.6973580953679166
20250724,11.56,11.75,11.46,11.75,51225.0,82.00721735669981,0.16215049214246413,0.11443296342635227,0.04771752871611186,,,,,,0.28999999999999915,0.3102564104084932,2.640480088582921
20250725,11.8,12.68,11.7,12.53,158842.01,86.52766060062233,0.24402894321943513,0.14035215938496884,0.1036767838344663,,,,,,0.9800000000000004,0.358095238236458,2.8579029388384516
20250728,12.6,13.78,12.6,13.78,41391.62,90.60239933302759,0.405112869923963,0.1933043014927677,0.2118085684311953,,,,,,1.25,0.42180272121956813,3.0609776576166046
20250729,14.61,15.16,13.68,13.8,354608.61,90.65112086811784,0.5282969963172661,0.2603028404576674,0.26799415585959874,,,,,,1.4800000000000004,0.49738824113245617,3.6042626169018566
20250730,13.58,13.78,12.97,13.05,192035.01,74.95714547826765,0.5589592378354702,0.32003411993322795,0.23892511790224225,,,,,,0.8300000000000001,0.5211462239087093,3.9934576544728686
20250731,13.1,13.88,13.1,13.73,166701.01,78.57829284704829,0.6308574699328044,0.38219878993314327,0.24865867999966118,11.810500000000001,13.789914852398239,9.831085147601764,0.3351957753521421,0.984865514087245,0.8300000000000001,0.5432072079152301,3.9563525703949756
20250801,13.66,14.09,13.66,13.81,107918.72,78.96368057687067,0.6863805011209401,0.4430351321707027,0.2433453689502374,11.9575,14.074706451410616,9.840293548589383,0.3541219237149265,0.937486858866727,0.4299999999999997,0.535120978778428,3.8748803676931787
