date,close,ma_5,ma_15,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown
20250704,10.87,,,0,0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0
20250707,11.07,,,0,0,0.0,0.0,100000.0,0.01839926402943881,0.01839926402943881,101839.92640294388,0.0
20250708,11.23,,,0,0,0.0,0.0,100000.0,0.014453477868112019,0.03311867525298995,103311.86752529899,0.0
20250709,11.15,,,0,0,-0.0,0.0,100000.0,-0.007123775601068583,0.02575896964121438,102575.89696412144,0.0
20250710,11.08,11.08,,0,0,-0.0,0.0,100000.0,-0.00627802690582957,0.01931922723091084,101931.92272309109,0.0
20250711,11.6,11.226,,0,0,0.0,0.0,100000.0,0.04693140794223827,0.0671573137074517,106715.73137074517,0.0
20250714,11.56,11.324000000000002,,0,0,-0.0,0.0,100000.0,-0.0034482758620688614,0.06347746090156403,106347.7460901564,0.0
20250715,11.26,11.33,,0,0,-0.0,0.0,100000.0,-0.02595155709342567,0.035878564857405815,103587.85648574059,0.0
20250716,11.21,11.342,,0,0,-0.0,0.0,100000.0,-0.00444049733570151,0.03127874885004611,103127.87488500461,0.0
20250717,11.11,11.348,,0,0,-0.0,0.0,100000.0,-0.008920606601249048,0.022079116835326484,102207.91168353264,0.0
20250718,11.04,11.236,,0,0,-0.0,0.0,100000.0,-0.006300630063006296,0.015639374425022945,101563.9374425023,0.0
20250721,11.24,11.172,,0,0,0.0,0.0,100000.0,0.018115942028985588,0.034038638454461756,103403.86384544618,0.0
20250722,11.59,11.238,,0,0,0.0,0.0,100000.0,0.03113879003558706,0.06623735050597945,106623.73505059794,0.0
20250723,11.56,11.308,,0,0,-0.0,0.0,100000.0,-0.0025884383088868868,0.06347746090156381,106347.74609015638,0.0
20250724,11.75,11.436,11.288,0,0,0.0,0.0,100000.0,0.016435986159169413,0.08095676172953059,108095.67617295306,0.0
20250725,12.53,11.734,11.398666666666665,0,0,0.0,0.0,100000.0,0.06638297872340426,0.152713891444342,115271.3891444342,0.0
20250728,13.78,12.241999999999999,11.579333333333333,0,0,0.0,0.0,100000.0,0.09976057462090981,0.26770929162833457,126770.92916283346,0.0
20250729,13.8,12.684000000000001,11.750666666666667,0,0,0.0,0.0,100000.0,0.0014513788098695635,0.2695492180312786,126954.92180312786,0.0
20250730,13.05,12.982,11.877333333333333,0,0,-0.0,0.0,100000.0,-0.05434782608695654,0.20055197792088308,120055.19779208831,0.0
20250731,13.73,13.378,12.054,0,0,0.0,0.0,100000.0,0.0521072796934865,0.26310947562097486,126310.94756209748,0.0
20250801,13.81,13.634,12.201333333333334,0,0,0.0,0.0,100000.0,0.0058266569555718295,0.27046918123275043,127046.91812327504,0.0
20250804,13.72,13.622,12.345333333333334,0,0,-0.0,0.0,100000.0,-0.00651701665459814,0.26218951241950283,126218.95124195029,0.0
20250805,13.73,13.608,12.51,0,0,0.0,0.0,100000.0,0.0007288629737609575,0.26310947562097486,126310.94756209748,0.0
20250806,14.15,13.828,12.706,0,0,0.0,0.0,100000.0,0.030589949016751605,0.3017479300827963,130174.79300827964,0.0
20250807,12.74,13.63,12.81466666666667,0,0,-0.0,0.0,100000.0,-0.09964664310954063,0.17203311867525262,117203.31186752526,0.0
