date,close,high,low,upper_channel,lower_channel_exit,atr,atr_pct,signal,position,strategy_return,strategy_cum_return,strategy_nav,benchmark_return,benchmark_cum_return,benchmark_nav,drawdown,benchmark_drawdown
20250704,10.87,11.0,10.8,,,,,0,0,0.0,0.0,100000.0,0.0,0.0,100000.0,0.0,0.0
20250707,11.07,11.07,10.74,,,,,0,0,0.0,0.0,100000.0,0.01839926402943881,0.01839926402943881,101839.92640294388,0.0,0.0
20250708,11.23,11.47,11.0,,,,,0,0,0.0,0.0,100000.0,0.014453477868112019,0.03311867525298995,103311.86752529899,0.0,0.0
20250709,11.15,11.23,11.03,,,,,0,0,-0.0,0.0,100000.0,-0.007123775601068583,0.02575896964121438,102575.89696412144,0.0,-0.007123775601068607
20250710,11.08,11.21,11.01,,,,,0,0,-0.0,0.0,100000.0,-0.00627802690582957,0.01931922723091084,101931.92272309109,0.0,-0.013357079252003462
20250711,11.6,11.65,11.06,,,,,0,0,0.0,0.0,100000.0,0.04693140794223827,0.0671573137074517,106715.73137074517,0.0,0.0
20250714,11.56,11.75,11.46,,,,,0,0,-0.0,0.0,100000.0,-0.0034482758620688614,0.06347746090156403,106347.7460901564,0.0,-0.003448275862068849
20250715,11.26,11.59,11.15,,,,,0,0,-0.0,0.0,100000.0,-0.02595155709342567,0.035878564857405815,103587.85648574059,0.0,-0.029310344827586033
20250716,11.21,11.44,11.16,,,,,0,0,-0.0,0.0,100000.0,-0.00444049733570151,0.03127874885004611,103127.87488500461,0.0,-0.0336206896551723
20250717,11.11,11.23,11.03,,,,,0,0,-0.0,0.0,100000.0,-0.008920606601249048,0.022079116835326484,102207.91168353264,0.0,-0.04224137931034497
20250718,11.04,11.19,10.94,,10.74,,,0,0,-0.0,0.0,100000.0,-0.006300630063006296,0.015639374425022945,101563.9374425023,0.0,-0.048275862068965524
20250721,11.24,11.35,11.02,,10.74,,,0,0,0.0,0.0,100000.0,0.018115942028985588,0.034038638454461756,103403.86384544618,0.0,-0.03103448275862073
20250722,11.59,11.95,11.22,,10.94,,,0,0,0.0,0.0,100000.0,0.03113879003558706,0.06623735050597945,106623.73505059794,0.0,-0.0008620689655175532
20250723,11.56,11.98,11.51,,10.94,,,0,0,-0.0,0.0,100000.0,-0.0025884383088868868,0.06347746090156381,106347.74609015638,0.0,-0.0034482758620691216
20250724,11.75,11.75,11.46,,10.94,,,0,0,0.0,0.0,100000.0,0.016435986159169413,0.08095676172953059,108095.67617295306,0.0,0.0
20250725,12.53,12.68,11.7,,10.94,,,0,0,0.0,0.0,100000.0,0.06638297872340426,0.152713891444342,115271.3891444342,0.0,0.0
20250728,13.78,13.78,12.6,,10.94,,,0,0,0.0,0.0,100000.0,0.09976057462090981,0.26770929162833457,126770.92916283346,0.0,0.0
20250729,13.8,15.16,13.68,,10.94,,,0,0,0.0,0.0,100000.0,0.0014513788098695635,0.2695492180312786,126954.92180312786,0.0,0.0
20250730,13.05,13.78,12.97,,10.94,,,0,0,-0.0,0.0,100000.0,-0.05434782608695654,0.20055197792088308,120055.19779208831,0.0,-0.054347826086956465
20250731,13.73,13.88,13.1,,10.94,0.532,3.8747268754552073,0,0,0.0,0.0,100000.0,0.0521072796934865,0.26310947562097486,126310.94756209748,0.0,-0.005072463768116058
20250801,13.81,14.09,13.66,15.16,10.94,0.5435000000000001,3.9355539464156415,0,0,0.0,0.0,100000.0,0.0058266569555718295,0.27046918123275043,127046.91812327504,0.0,0.0
20250804,13.72,13.84,13.2,15.16,11.02,0.559,4.074344023323615,0,0,-0.0,0.0,100000.0,-0.00651701665459814,0.26218951241950283,126218.95124195029,0.0,-0.006517016654598184
20250805,13.73,13.98,13.51,15.16,11.22,0.559,4.0713765477057535,0,0,0.0,0.0,100000.0,0.0007288629737609575,0.26310947562097486,126310.94756209748,0.0,-0.0057929036929761386
20250806,14.15,14.18,13.71,15.16,11.46,0.5725,4.045936395759718,0,0,0.0,0.0,100000.0,0.030589949016751605,0.3017479300827963,130174.79300827964,0.0,0.0
20250807,12.74,15.48,12.74,15.16,11.46,0.6994999999999999,5.490580847723704,0,0,-0.0,0.0,100000.0,-0.09964664310954063,0.17203311867525262,117203.31186752526,0.0,-0.0996466431095407
20250808,11.48,12.25,11.47,15.48,11.7,0.7334999999999999,6.38937282229965,0,0,-0.0,0.0,100000.0,-0.09890109890109888,0.05611775528978802,105611.7755289788,0.0,-0.18869257950530044
20250811,11.52,11.67,11.27,15.48,11.47,0.739,6.414930555555556,0,0,0.0,0.0,100000.0,0.0034843205574912606,0.05979760809567569,105979.76080956757,0.0,-0.18586572438162563
20250812,11.3,11.5,11.12,15.48,11.27,0.737,6.522123893805309,0,0,-0.0,0.0,100000.0,-0.0190972222222221,0.039558417663293044,103955.84176632931,0.0,-0.20141342756183755
20250813,11.12,11.34,11.09,15.48,11.12,0.7355,6.614208633093526,0,0,-0.0,0.0,100000.0,-0.01592920353982319,0.022999080036797848,102299.90800367978,0.0,-0.21413427561837492
20250814,10.83,11.12,10.81,15.48,11.09,0.7409999999999999,6.842105263157894,0,0,-0.0,0.0,100000.0,-0.02607913669064743,-0.0036798528058883395,99632.01471941116,0.0,-0.23462897526501794
20250815,10.74,10.89,10.67,15.48,10.81,0.7394999999999999,6.8854748603351945,0,0,-0.0,0.0,100000.0,-0.008310249307479256,-0.011959521619135827,98804.04783808642,0.0,-0.24098939929328644
20250818,10.93,10.99,10.8,15.48,10.67,0.7354999999999999,6.7291857273559,0,0,0.0,0.0,100000.0,0.017690875232774683,0.005519779208831066,100551.9779208831,0.0,-0.22756183745583067
20250819,10.9,11.08,10.83,15.48,10.67,0.7115,6.5275229357798175,0,0,-0.0,0.0,100000.0,-0.0027447392497712553,0.0027598896044152,100275.98896044152,0.0,-0.22968197879858684
