date,open,high,low,close,pre_close,change,pct_chg,volume_hands,volume_shares,amount_thousand_yuan,raw_open,raw_high,raw_low,raw_close,raw_pre_close,raw_change,raw_pct_chg,adj_factor
20250704,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,252257.45,25225745.0,2166412.311,86.0,87.2,84.86,85.8,86.24,-0.44,-0.5102,1.0
20250707,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,135349.28,13534928.0,1162397.568,85.69,86.86,85.37,85.48,85.8,-0.32,-0.373,1.0
20250708,85.49,86.85,85.18,86.74,85.48,1.26,1.474,217668.48,21766848.0,1876172.23,85.49,86.85,85.18,86.74,85.48,1.26,1.474,1.0
20250709,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,183102.0,18310200.0,1578143.686,86.65,86.86,85.52,85.85,86.74,-0.89,-1.0261,1.0
20250710,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,175639.46,17563946.0,1506706.468,85.61,86.17,85.5,85.67,85.85,-0.18,-0.2097,1.0
20250711,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,469922.38,46992238.0,4128335.55,85.7,89.34,85.4,88.16,85.67,2.49,2.9065,1.0
20250714,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,189831.36,18983136.0,1667925.619,88.3,88.49,87.47,87.52,88.16,-0.64,-0.726,1.0
20250715,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,206173.16,20617316.0,1800356.659,87.15,87.95,86.61,87.89,87.52,0.37,0.4228,1.0
20250716,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,196708.51,19670851.0,1720548.788,87.73,88.2,86.77,87.12,87.89,-0.77,-0.8761,1.0
20250717,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,287922.16,28792215.999999996,2535637.954,87.06,89.0,86.32,88.79,87.12,1.67,1.9169,1.0
20250718,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,219959.93,21995993.0,1948101.635,88.75,89.13,87.93,88.51,88.79,-0.28,-0.3154,1.0
20250721,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,222719.15,22271915.0,1983498.56,88.45,89.52,88.04,89.02,88.51,0.51,0.5762,1.0
20250722,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,297420.68,29742068.0,2662984.479,88.7,90.55,88.5,89.08,89.02,0.06,0.0674,1.0
20250723,88.9,90.19,88.3,89.39,89.08,0.31,0.348,316549.41,31654940.999999996,2831683.379,88.9,90.19,88.3,89.39,89.08,0.31,0.348,1.0
20250724,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,522324.53,52232453.0,4779308.503,89.1,92.9,89.0,91.75,89.39,2.36,2.6401,1.0
20250725,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,442124.79,44212479.0,4076414.682,91.74,93.68,90.99,93.47,91.75,1.72,1.8747,1.0
20250728,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,342640.05,34264005.0,3167887.757,93.64,93.69,91.96,92.18,93.47,-1.29,-1.3801,1.0
20250729,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,294142.08,29414208.0,2699803.673,92.0,92.63,90.81,92.17,92.18,-0.01,-0.0108,1.0
20250730,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,310018.59,31001859.000000004,2815721.986,91.7,91.83,89.74,90.36,92.17,-1.81,-1.9638,1.0
20250731,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,461988.52,46198852.0,4187082.774,90.32,92.75,89.46,89.5,90.36,-0.86,-0.9517,1.0
20250801,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,274140.33,27414033.0,2439842.712,89.2,90.33,88.02,88.29,89.5,-1.21,-1.352,1.0
20250804,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,286057.6,28605759.999999996,2568808.038,87.95,90.63,87.88,90.07,88.29,1.78,2.0161,1.0
20250805,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,195679.4,19567940.0,1761818.589,89.85,90.58,89.58,90.0,90.07,-0.07,-0.0777,1.0
20250806,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,267797.87,26779787.0,2418543.09,89.86,91.0,89.53,90.78,90.0,0.78,0.8667,1.0
20250807,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,315259.94,31525994.0,2859638.85,90.7,91.7,89.75,90.59,90.78,-0.19,-0.2093,1.0
20250808,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,584730.5,58473050.0,5098977.106,88.0,88.5,86.66,86.66,90.59,-3.93,-4.3382,1.0
20250811,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,279193.14,27919314.0,2423559.078,86.69,87.18,86.22,86.96,86.66,0.3,0.3462,1.0
20250812,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,551552.4,55155240.0,4870773.398,86.95,90.1,86.42,88.52,86.96,1.56,1.7939,1.0
20250813,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,384304.42,38430442.0,3405728.487,88.01,89.23,88.0,88.66,88.52,0.14,0.1582,1.0
20250814,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,741492.26,74149226.0,6741604.128,88.69,92.58,88.69,89.46,88.66,0.8,0.9023,1.0
20250815,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,690499.46,69049946.0,6288369.53,89.0,93.3,88.48,91.84,89.46,2.38,2.6604,1.0
20250818,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,833423.13,83342313.0,7749849.746,93.5,95.17,91.36,92.31,91.84,0.47,0.5118,1.0
20250819,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,744652.14,74465214.0,6762914.098,91.67,92.48,89.35,89.35,92.31,-2.96,-3.2066,1.0
20250820,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,858745.56,85874556.0,7756060.795,89.4,92.49,88.19,92.28,89.35,2.93,3.2792,1.0
20250821,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,606826.05,60682605.00000001,5593619.618,92.3,94.11,90.8,91.05,92.28,-1.23,-1.3329,1.0
20250822,92.5,105.0,92.42,103.97,91.05,12.92,14.19,2061948.09,206194809.0,20322967.7,92.5,105.0,92.42,103.97,91.05,12.92,14.19,1.0
20250825,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1760636.98,176063698.0,18348502.386,106.0,109.24,101.1,103.17,103.97,-0.8,-0.7695,1.0
20250826,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,856074.09,85607409.0,8663988.281,101.0,102.57,100.13,100.93,103.17,-2.24,-2.1712,1.0
20250827,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1422620.71,142262071.0,14762335.293,102.2,106.69,100.59,101.51,100.93,0.58,0.5747,1.0
20250828,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,2420325.11,242032511.0,27118768.322,102.0,119.22,101.99,119.22,101.51,17.71,17.4466,1.0
